Location,L,Species,spab,natexo,T,area,perimeter,complexity,dperimeter,sqrtarea,height,dsqrtarea,dcomplexity,distance,ndetect
KBG,4,Clidemia hirta,CLHI,e14,14,106.529,50.857,4.927388583,12.983,10.32128868,0.5,4.39128868,-0.762611417,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,37.1,30.579,5.020376917,33.261,6.090976933,0.3,0.160976933,-0.669623083,0.3,126
KBG,4,Clidemia hirta,CLHI,e14,14,94.743,50.25,5.162528948,13.59,9.733601594,0.6,3.803601594,-0.527471052,0.4,126
BRBG,2,Clidemia hirta,CLHI,e14,14,12.199,15.87,4.543754006,47.97,3.492706687,0.2,-2.437293313,-1.146245994,0.431,126
BRBG,2,Clidemia hirta,CLHI,e14,14,48.938,34.068,4.8699391,29.772,6.995570027,1.1,1.065570027,-0.8200609,0.473,126
BRBG,2,Clidemia hirta,CLHI,e14,14,38.669,27.104,4.358649213,36.736,6.218440319,1,0.288440319,-1.331350787,0.477,126
BRBG,2,Clidemia hirta,CLHI,e14,14,47.022,35.9,5.235328049,27.94,6.857258928,1.5,0.927258928,-0.454671951,0.507,126
BRBG,2,Clidemia hirta,CLHI,e14,14,32.434,28.913,5.076833261,34.927,5.695085601,0.31,-0.234914399,-0.613166739,0.517,126
BRBG,2,Clidemia hirta,CLHI,e14,14,57.814,38.876,5.112873696,24.964,7.603551802,0.3,1.673551802,-0.577126304,0.567,126
BRBG,2,Clidemia hirta,CLHI,e14,14,55.355,35.04,4.709617862,28.8,7.440094085,1,1.510094085,-0.980382138,0.58,126
BRBG,2,Clidemia hirta,CLHI,e14,14,50.088,35.057,4.953451365,28.783,7.077287616,1.65,1.147287616,-0.736548635,0.581,126
BRBG,2,Clidemia hirta,CLHI,e14,14,37.961,29.455,4.780685836,34.385,6.161249873,1.1,0.231249873,-0.909314164,0.584,126
BRBG,2,Clidemia hirta,CLHI,e14,14,38.914,30.64,4.911745135,33.2,6.238108688,1,0.308108688,-0.778254865,0.584,126
KBG,4,Clidemia hirta,CLHI,e14,14,50.762,42.299,5.936913726,21.541,7.124745609,0.4,1.194745609,0.246913726,0.6,126
BRBG,2,Clidemia hirta,CLHI,e14,14,43.911,34.317,5.178722629,29.523,6.626537557,0.15,0.696537557,-0.511277371,0.603,126
BRBG,2,Clidemia hirta,CLHI,e14,14,58.922,38.296,4.989013448,25.544,7.676066701,0.9,1.746066701,-0.700986552,0.619,126
BRBG,2,Clidemia hirta,CLHI,e14,14,35.012,29.294,4.950741122,34.546,5.917093881,0.5,-0.012906119,-0.739258878,0.629,126
BRBG,2,Clidemia hirta,CLHI,e14,14,76.399,41.87,4.790260416,21.97,8.74065215,1.5,2.81065215,-0.899739584,0.63,126
BRBG,2,Clidemia hirta,CLHI,e14,14,18.399,22.562,5.259936306,41.278,4.289405553,0.6,-1.640594447,-0.430063694,0.65,126
BRBG,2,Clidemia hirta,CLHI,e14,14,41.282,31.5,4.902642086,32.34,6.425107003,0.2,0.495107003,-0.787357914,0.664,126
BRBG,2,Clidemia hirta,CLHI,e14,14,97.573,50.772,5.139956486,13.068,9.877904636,1.5,3.947904636,-0.550043514,0.669,126
BRBG,2,Clidemia hirta,CLHI,e14,14,38.624,30.12,4.84647909,33.72,6.214820995,1.22,0.284820995,-0.84352091,0.7,126
BRBG,2,Clidemia hirta,CLHI,e14,14,31.445,27.131,4.8382689,36.709,5.60758415,0.4,-0.32241585,-0.8517311,0.706,126
BRBG,2,Clidemia hirta,CLHI,e14,14,26.651,22.331,4.325650402,41.509,5.162460654,1,-0.767539346,-1.364349598,0.739,126
BRBG,2,Clidemia hirta,CLHI,e14,14,53.881,37.708,5.13707226,26.132,7.340367838,0.6,1.410367838,-0.55292774,0.739,126
BRBG,2,Clidemia hirta,CLHI,e14,14,27.098,24.667,4.738574517,39.173,5.205573936,1.5,-0.724426064,-0.951425483,0.747,126
BRBG,2,Clidemia hirta,CLHI,e14,14,58.961,37.725,4.913000724,26.115,7.678606644,0.7,1.748606644,-0.776999276,0.76,126
BRBG,2,Clidemia hirta,CLHI,e14,14,70.925,42.13,5.002554018,21.71,8.421698166,1.5,2.491698166,-0.687445982,0.767,126
BRBG,2,Clidemia hirta,CLHI,e14,14,17.83,22.37,5.297736,41.47,4.222558466,0.2,-1.707441534,-0.392264,0.768,126
BRBG,2,Clidemia hirta,CLHI,e14,14,38.302,30.369,4.907041892,33.471,6.188860961,0.25,0.258860961,-0.782958108,0.775,126
KBG,4,Clidemia hirta,CLHI,e14,14,64.032,48.261,6.031117409,15.579,8.00199975,0.4,2.07199975,0.341117409,0.776,126
BRBG,2,Clidemia hirta,CLHI,e14,14,37.242,29.302,4.801542377,34.538,6.102622387,1.1,0.172622387,-0.888457623,0.78,126
BRBG,2,Clidemia hirta,CLHI,e14,14,63.056,45.483,5.727774263,18.357,7.940780818,0.3,2.010780818,0.037774263,0.786,126
BRBG,2,Clidemia hirta,CLHI,e14,14,57.37,40.979,5.410269902,22.861,7.574298647,0.4,1.644298647,-0.279730098,0.8,126
BRBG,2,Clidemia hirta,CLHI,e14,14,71.015,40.54,4.810704696,23.3,8.427039812,1,2.497039812,-0.879295304,0.825,126
BRBG,2,Clidemia hirta,CLHI,e14,14,24.002,23.895,4.877343232,39.945,4.899183605,0.7,-1.030816395,-0.812656768,0.831,126
BRBG,2,Clidemia hirta,CLHI,e14,14,44.026,33.438,5.039479453,30.402,6.635209115,1.16,0.705209115,-0.650520547,0.879,126
BRBG,2,Clidemia hirta,CLHI,e14,14,85.703,45.212,4.883775667,18.628,9.257591479,0.5,3.327591479,-0.806224333,0.914,126
BRBG,2,Clidemia hirta,CLHI,e14,14,51.839,39.172,5.440608031,24.668,7.199930555,1.4,1.269930555,-0.249391969,0.941,126
BRBG,2,Clidemia hirta,CLHI,e14,14,54.595,35.92,4.861383614,27.92,7.388842941,1.5,1.458842941,-0.828616386,0.949,126
BRBG,2,Clidemia hirta,CLHI,e14,14,67.584,37.888,4.608713749,25.952,8.22094885,0.35,2.29094885,-1.081286251,0.978,126
BRBG,2,Clidemia hirta,CLHI,e14,14,31.81,24.109,4.274618514,39.731,5.640035461,0.32,-0.289964539,-1.415381486,1.013,126
BRBG,2,Clidemia hirta,CLHI,e14,14,43.882,31.399,4.739937446,32.441,6.624349025,0.21,0.694349025,-0.950062554,1.039,126
BRBG,2,Clidemia hirta,CLHI,e14,14,62.13,37.128,4.710325057,26.712,7.88225856,1.65,1.95225856,-0.979674943,1.047,126
BRBG,2,Clidemia hirta,CLHI,e14,14,101.808,46.363,4.594947747,17.477,10.08999504,0.31,4.15999504,-1.095052253,1.067,126
BRBG,2,Clidemia hirta,CLHI,e14,14,55.579,35.547,4.768124536,28.293,7.45513246,0.6,1.52513246,-0.921875464,1.075,126
